CATEGORY;NAME;BRAND;IMAGE;SIZE;UNIT;SERVE;PRICE;ACTIVE
Muut väkevät;Minttu;;TODO;4;cl;;2;active
Muut väkevät;Jaloviina;;TODO;4;cl;;2;active
Muut väkevät;Jaloviina Extra;;TODO;4;cl;;2,5;active
Muut väkevät;Myrsky Jaloviina;;TODO;4;cl;;3;active
Muut väkevät;Ararat Akhtamar;Brandy;TODO;4;cl;;2,5;active
Muut väkevät;Carlos I.;Brandy;TODO;4;cl;;2,5;active
Muut väkevät;Darvelle Freres X.O.;Brandy;TODO;4;cl;;2;active
Muut väkevät;Hector Legrande Extra;Brandy;TODO;4;cl;;2;active
Muut väkevät;Amarone Alexander Aqua di Vita;Grappa;TODO;4;cl;;1,5;active
Muut väkevät;Bottega Fume;Grappa;TODO;4;cl;;1,5;active
Muut väkevät;Grappa Prosecco;Grappa;TODO;4;cl;;1,5;active
Muut väkevät;Averna;;TODO;4;cl;;1,5;active
Muut väkevät;Bols Corenwjin Jenever;;TODO;4;cl;;2;active
Muut väkevät;Bols Genever;;TODO;4;cl;;3;active
Muut väkevät;Bornholm No 2;;TODO;4;cl;;3,5;active
Muut väkevät;Bäska Droppar;;TODO;4;cl;;4;active
Muut väkevät;Cointreau;;TODO;4;cl;;2;active
Muut väkevät;Dolin Vermouth;;TODO;4;cl;;1,5;active
Muut väkevät;Fernet Branca;;TODO;4;cl;;3;active
Muut väkevät;Helsinki Tyrni Pontikka;;TODO;4;cl;;4,5;active
Muut väkevät;Martini;;TODO;4;cl;;1,5;active
Muut väkevät;Noilly Prat;;TODO;4;cl;;2;active
Muut väkevät;Per Se;;TODO;4;cl;;2;active
Muut väkevät;Pernod;;TODO;4;cl;;3;active
Muut väkevät;Valhalla;;TODO;4;cl;;1,5;active
Muut väkevät;Vilmoskörte Palinka;;TODO;4;cl;;2;active
Muut väkevät;Zwack Unicum;;TODO;4;cl;;2;active
Muut väkevät;Ägräs Akvavir;;TODO;4;cl;;4;active
Gin;24/7 Gin;;TODO;4;cl;Esim gtnä;2,5;active
Gin;Arctic blue;;TODO;4;cl;Esim gtnä;4,5;active
Gin;Barrister;;TODO;4;cl;Esim gtnä;3;active
Gin;Berliner Luft;;TODO;4;cl;Esim gtnä;1,5;active
Gin;Bombay Sapphire;;TODO;4;cl;Esim gtnä;2,5;active
Gin;Botanist;;TODO;4;cl;Esim gtnä;3,5;active
Gin;Crafter's gin;;TODO;4;cl;Esim gtnä;3;active
Gin;Drumsshanbo Gunpowder;;TODO;4;cl;Esim gtnä;3;active
Gin;Dutch Dry Orange;;TODO;4;cl;Esim gtnä;4;active
Gin;Elixier;;TODO;4;cl;Esim gtnä;4,5;active
Gin;Euelsberger;;TODO;4;cl;Esim gtnä;4;active
Gin;G73;;TODO;4;cl;Esim gtnä;4;active
Gin;Gin Mare;;TODO;4;cl;Lisää garnishina oliiveja ja basilikaa;4;active
Gin;Harah Gin;;TODO;4;cl;Esim gtnä;3,5;active
Gin;Hayman's gin;;TODO;4;cl;Esim gtnä;3;active
Gin;Helsinki Dry gin;;TODO;4;cl;Esim gtnä;3;active
Gin;Hendricks;;TODO;4;cl;Esim gtnä;4;active
